date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:21	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2007:46:20%20GMT	https://pr-lp.net/robots.txt		(from )
14:46:24	68263/68263	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2007:46:22%20GMT	https://pr-lp.net/tiger-security.info/bu-2/	D:/demo/pr-lp.net/tiger-security.info/bu-2/index.html	(from )
14:46:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2008%20Jul%202024%2007:46:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/demo/www.googletagmanager.com/gtm.05445.delayed	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:25	192264/192264	---M-Z	200	added ('OK')	text/css	etag:%222ef08-61874af137338-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/css/style.min.css	D:/demo/pr-lp.net/tiger-security.info/bu-2/css/style.min.css	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:25	9735/9735	---M-Z	200	added ('OK')	application/javascript	etag:%222607-61874afca539b-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/js/script.min.js	D:/demo/pr-lp.net/tiger-security.info/bu-2/js/script.min.js	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:25	2326/2326	---M-Z	200	added ('OK')	image/webp	etag:%22916-61874af4a9097-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/common/logo.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/common/logo.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:25	1818/1818	---M-Z	200	added ('OK')	image/svg+xml	etag:%2271a-61874af508fbf-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/common/phone.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/common/phone.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:25	1778/1778	---M-Z	200	added ('OK')	image/svg+xml	etag:%226f2-61874af50496f-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/common/phone-sp.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/common/phone-sp.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:26	489/489	---M-Z	200	added ('OK')	image/svg+xml	etag:%221e9-61874af4df7af-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/common/mail.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/common/mail.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:26	493/493	---M-Z	200	added ('OK')	image/svg+xml	etag:%221ed-61874af4d633f-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/common/mail-hover.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/common/mail-hover.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:27	237570/237570	---MCZ	200	added ('OK')	image/webp	etag:%223a002-61a48dec9d280-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/mv/mv-sp.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/mv/mv-sp.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:27	135414/135414	---MCZ	200	added ('OK')	image/webp	etag:%22210f6-61874af917cd5-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/mv/mv-pc.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/mv/mv-pc.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:27	1641/1641	---M-Z	200	added ('OK')	image/svg+xml	etag:%22669-61874af802755-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/inquiry/phone-icon.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/inquiry/phone-icon.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:27	1670/1670	---M-Z	200	added ('OK')	image/svg+xml	etag:%22686-61874af7d50c5-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/inquiry/mail-icon.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/inquiry/mail-icon.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:27	17380/17380	---M-Z	200	added ('OK')	image/webp	etag:%2243e4-61874af825dbd-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/inquiry/table-img.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/inquiry/table-img.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:28	20680/20680	---M-Z	200	added ('OK')	image/webp	etag:%2250c8-61874af85efcd-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/inquiry/tablesp-img.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/inquiry/tablesp-img.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:28	20580/20580	---M-Z	200	added ('OK')	image/svg+xml	etag:%225064-61874af7993bd-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/header/header.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/header/header.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:28	24128/24128	---M-Z	200	added ('OK')	image/png	etag:%225e40-61874afaa199c-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/problem/problem-01.png	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/problem/problem-01.png	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:29	110158/110158	---MCZ	200	added ('OK')	image/png	etag:%221ae4e-61874afa01b04-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/point/point-cta01.png	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/point/point-cta01.png	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:29	243/243	---M-Z	200	added ('OK')	image/png	etag:%22f3-61874afbb3484-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/wage/plus.png	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/wage/plus.png	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:29	2586/2586	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a1a-61874afb9ffec-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/wage//money.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/wage/money.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:29	384704/384704	---MCZ	200	added ('OK')	image/jpeg	etag:%225dec0-61874afacf7fc-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/problem/problem-help.jpg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/problem/problem-help.jpg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:29	3333/3333	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d05-61874afbf66bc-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/wage/time.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/wage/time.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:29	4814/4814	---M-Z	200	added ('OK')	image/svg+xml	etag:%2212ce-61874afb40c7c-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/wage/boy.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/wage/boy.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:30	3224/3224	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c98-61874afbf012c-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/wage/setting.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/wage/setting.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:30	3476/3476	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d94-61874afb6fe64-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/wage/love.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/wage/love.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:30	5940/5940	---M-Z	200	added ('OK')	image/webp	etag:%221734-61874af2d15b7-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/comment/comment-01.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/comment/comment-01.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:30	6520/6520	---M-Z	200	added ('OK')	image/webp	etag:%221978-61874af2e36c7-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/comment/comment-02.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/comment/comment-02.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:30	18258/18258	---M-Z	200	added ('OK')	image/webp	etag:%224752-61874af3a6bc7-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/comment/image-01.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/comment/image-01.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:31	15104/15104	---M-Z	200	added ('OK')	image/webp	etag:%223b00-61874af3bb7cf-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/comment/image-02.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/comment/image-02.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:31	6046/6046	---M-Z	200	added ('OK')	image/webp	etag:%22179e-61874af3d4e0f-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/comment/image-03.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/comment/image-03.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:31	19498/19498	---M-Z	200	added ('OK')	image/webp	etag:%224c2a-61874af3f691f-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/comment/image-04.webp	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/comment/image-04.webp	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:31	112169/112169	---MCZ	200	added ('OK')	image/png	etag:%221b629-61874afa1a1a4-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/point/point-mascot.png	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/point/point-mascot.png	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:32	34753/34753	---M-Z	200	added ('OK')	image/png	etag:%2287c1-61874af9b7785-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/point/point-01-sp.png	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/point/point-01-sp.png	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:32	58148/58148	---M-Z	200	added ('OK')	image/png	etag:%22e324-61874af9cbbbd-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/point/point-01.png	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/point/point-01.png	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:32	1224/1224	---M-Z	200	added ('OK')	image/svg+xml	etag:%224c8-61874af6e58be-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/faq/q.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/faq/q.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
14:46:32	902/902	---M-Z	200	added ('OK')	image/svg+xml	etag:%22386-61874af6f3b4e-gzip%22	https://pr-lp.net/tiger-security.info/bu-2/img/faq/icon-arrow.svg	D:/demo/pr-lp.net/tiger-security.info/bu-2/img/faq/icon-arrow.svg	(from https://pr-lp.net/tiger-security.info/bu-2/)
